轉了	知合仙上 來蕭上
轉交	知合仙上 見肴平
轉告	知合仙上 見豪去
轉圈	知合仙去 溪合B仙平
轉型	知合仙上 匣開青平
轉寫	知合仙上 心開三麻上
轉帳	知合仙上 知開陽去
轉彎	知合仙上 影合刪平
轉成	知合仙上 常開清平
轉換	知合仙上 匣合寒去
轉會	知合仙上 匣合泰去
轉發	知合仙上 幫元入
轉盤	知合仙去 並寒平
轉賬	知合仙上 知開陽去
轉載	知合仙上 從咍去
轉送	知合仙上 心一東去
轉速	知合仙去 心一東入
轉運	知合仙上 云文去
這些	章開清入 心開三麻平
通量	透一東平 來開陽去
造次	清豪去 清開脂去
造訪	清豪去 滂陽去
連坐	來開仙平 從合一歌上
進度	精開眞去 定模去
進藏	精開眞去 從開唐去
進行	精開眞去 匣開二庚平
遊說	以尤平 書合祭去
運載	云文去 從咍去
運輸	云文去 書虞去
過去	見合一歌去 溪魚去
過失	見合一歌去 書開眞入
過錯	見合一歌去 清開唐入
道觀	定豪上 見合寒去
遞相	定開齊上 心開陽平
避難	並A支去 泥開寒去
邊塞	幫先平 心咍去
邪惡	邪開三麻平 影開唐入
邪教	邪開三麻平 見肴去
邯鄲	匣開寒平 端開寒平
部伍	並模上 疑模上
部曲	並模上 溪鍾入
部署	並侯上 常魚去
部隊	並模上 定灰去
郵遞	云尤平 定開齊去
配種	滂灰去 章鍾上
重出	澄鍾平 昌合眞入
重合	澄鍾平 匣覃入
重心	澄鍾上 心侵平
