㐖毒	匣開四先入 定一冬入
人間	日開三真平 見開二山去
人際	日開三真平 精開三祭去
人頭	日開三真平 定一侯平
人類	日開三真平 來合三脂去
人馬	日開三真平 明二麻上
人體	日開三真平 透開四齊上
人魚	日開三真平 疑開三C魚平
人龍	日開三真平 來三鍾平
什器	常開三侵入 溪開三B脂去
什菜	常開三侵入 清開一咍去
什錦	常開三侵入 見開三B侵上
什麼	常開三侵入 明一歌上
仁丹	日開三真平 端開一寒平
仁兄	日開三真平 曉合三B庚平
仁化	日開三真平 曉合二麻去
仁川	日開三真平 昌合三仙平
仁布	日開三真平 幫一模去
仁德	日開三真平 端開一登入
仁惠	日開三真平 匣合四齊去
仁愛	日開三真平 影開一咍去
仁慈	日開三真平 從開三之平
仁懷	日開三真平 匣合二皆平
仁政	日開三真平 章開三清去
仁武	日開三真平 明三C虞上
仁義	日開三真平 疑開三B支去
仁術	日開三真平 船合三真入
仄徑	莊開三蒸入 見開四青去
仄聲	莊開三蒸入 書開三清平
仇人	羣三C尤平 日開三真平
仇外	羣三C尤平 疑合一泰去
仇家	羣三C尤平 見開二麻平
仇富	羣三C尤平 幫三C尤去
仇恨	羣三C尤平 匣開一痕去
仇敵	羣三C尤平 定開四青入
仇隙	羣三C尤平 溪開三B庚入
今井	見開三B侵平 精開三清上
今人	見開三B侵平 日開三真平
今兒	見開三B侵平 日開三支平
今夜	見開三B侵平 以開三麻去
今天	見開三B侵平 透開四先平
今年	見開三B侵平 泥開四先平
今日	見開三B侵平 日開三真入
今昔	見開三B侵平 心開三清入
今晚	見開三B侵平 明三C元上
今晨	見開三B侵平 船開三真平
今村	見開三B侵平 清合一魂平
今次	見開三B侵平 清開三脂去
今歲	見開三B侵平 心合三祭去
今生	見開三B侵平 生開三庚平
今譯	見開三B侵平 以開三清入
今音	見開三B侵平 影開三B侵平
介乎	見開二皆去 匣一模平
介休	見開二皆去 曉三C尤平
介入	見開二皆去 日開三侵入
介子	見開二皆去 精開三之上
介意	見開二皆去 影開三C之去
介懷	見開二皆去 匣合二皆平
介紹	見開二皆去 常開三宵上
介胄	見開二皆去 澄三尤去
介詞	見開二皆去 邪開三之平
介面	見開二皆去 明三A仙去
仍然	日開三蒸平 日開三仙平
仍舊	日開三蒸平 羣三C尤去
仕宦	崇開三之上 匣合二刪去
仕途	崇開三之上 定一模平
他人	透開一歌平 日開三真平
他信	透開一歌平 心開三真去
他國	透開一歌平 見合一登入
他性	透開一歌平 心開三清去
他者	透開一歌平 章開三麻上
他遷	透開一歌平 清開三仙平
他鄉	透開一歌平 曉開三C陽平
付印	幫三C虞去 影開三A真去
付梓	幫三C虞去 精開三之上
付款	幫三C虞去 溪合一寒上
付清	幫三C虞去 清開三清平
付現	幫三C虞去 匣開四先去
付給	幫三C虞去 見開三B侵入
付訖	幫三C虞去 見開三C殷入
付諸	幫三C虞去 章開三魚平
付錢	幫三C虞去 從開三仙平
仙丹	心開三仙平 端開一寒平
仙人	心開三仙平 日開三真平
仙去	心開三仙平 溪開三C魚去
仙境	心開三仙平 見開三B庚上
仙姑	心開三仙平 見一模平
仙子	心開三仙平 精開三之上
仙宮	心開三仙平 見三C東平
仙山	心開三仙平 生開二山平
仙桃	心開三仙平 定開一豪平
仙氣	心開三仙平 溪開三C微去
仙界	心開三仙平 見開二皆去
仙童	心開三仙平 定一東平
仙股	心開三仙平 見一模上
仙臺	心開三仙平 定開一咍平
仙茅	心開三仙平 明二肴平
仙草	心開三仙平 清開一豪上
仙藥	心開三仙平 以開三陽入
仙貝	心開三仙平 幫一泰去
仙逝	心開三仙平 常開三祭去
仙遊	心開三仙平 以三尤平
仙鄉	心開三仙平 曉開三C陽平
仙鶴	心開三仙平 匣開一唐入
代代	定開一咍去 定開一咍去
代價	定開一咍去 見開二麻去
代入	定開一咍去 日開三侵入
代孕	定開一咍去 以開三蒸去
代字	定開一咍去 從開三之去
代宗	定開一咍去 精一冬平
代寫	定開一咍去 心開三麻上
代工	定開一咍去 見一東平
代幣	定開一咍去 並三A祭去
代換	定開一咍去 匣合一寒去
代書	定開一咍去 書開三魚平
代替	定開一咍去 透開四齊去
代步	定開一咍去 並一模去
代溝	定開一咍去 見一侯平
代班	定開一咍去 幫二刪平
代理	定開一咍去 來開三之上
代碼	定開一咍去 明二麻上
代筆	定開一咍去 幫三B真入
代管	定開一咍去 見合一寒上
代糖	定開一咍去 定開一唐平
代罪	定開一咍去 從合一灰上
代考	定開一咍去 溪開一豪上
代表	定開一咍去 幫三B宵上
代言	定開一咍去 疑開三C元平
代詞	定開一咍去 邪開三之平
代誌	定開一咍去 章開三之去
代課	定開一咍去 溪合一歌去
代謝	定開一咍去 邪開三麻去
代購	定開一咍去 見一侯去
代辦	定開一咍去 並二山去
代銷	定開一咍去 心開三宵平
代頓	定開一咍去 端合一魂去
代餐	定開一咍去 清開一寒平
代駕	定開一咍去 見開二麻去
以上	以開三之上 常開三陽上
以來	以開三之上 來開一咍平
以免	以開三之上 明三B仙上
以前	以開三之上 從開四先平
以北	以開三之上 幫一登入
以南	以開三之上 泥開一覃平
以及	以開三之上 羣開三B侵入
以埃	以開三之上 影開一咍平
以外	以開三之上 疑合一泰去
以太	以開三之上 透開一泰去
以往	以開三之上 云合三C陽上
以律	以開三之上 來合三真入
以敘	以開三之上 邪開三魚上
以期	以開三之上 羣開三C之平
以東	以開三之上 端一東平
以次	以開三之上 清開三脂去
以此	以開三之上 清開三支上
以求	以開三之上 羣三C尤平
以為	以開三之上 云合三B支平
以至	以開三之上 章開三脂去
以致	以開三之上 知開三脂去
以西	以開三之上 心開四齊平
以資	以開三之上 精開三脂平
以軍	以開三之上 見合三C文平
仲介	澄三東去 見開二皆去
仲尼	澄三東去 孃開三脂平
仲巴	澄三東去 幫二麻平
仲秋	澄三東去 清三尤平
仵工	疑一模上 見一東平
份兒	幫三B真平 日開三支平
份子	幫三B真平 精開三之上
份額	幫三B真平 疑開二庚入
仿似	滂三C陽上 邪開三之上
仿佛	滂三C陽上 並三C文入
仿古	滂三C陽上 見一模上
仿宋	滂三C陽上 心一冬去
仿照	滂三C陽上 章開三宵去
仿皮	滂三C陽上 並三B支平
仿紙	滂三C陽上 章開三支上
仿製	滂三C陽上 章開三祭去
仿諷	滂三C陽上 幫三C東去
伉儷	溪開一唐去 來開四齊去
伊人	影開三A脂平 日開三真平
伊倫	影開三A脂平 來合三真平
伊凡	影開三A脂平 並三C凡平
伊塔	影開三A脂平 透開一談入
伊始	影開三A脂平 書開三之上
伊娃	影開三A脂平 影開二佳平
伊寧	影開三A脂平 泥開四青平
伊川	影開三A脂平 昌合三仙平
伊州	影開三A脂平 章三尤平
伊春	影開三A脂平 昌合三真平
伊朗	影開三A脂平 來開一唐上
伊水	影開三A脂平 書合三脂上
伊犁	影開三A脂平 來開四齊平
伊藤	影開三A脂平 定開一登平
伊蚊	影開三A脂平 明三C文平
伊通	影開三A脂平 透一東平
伊麵	影開三A脂平 明四先去
伊黨	影開三A脂平 端開一唐上
伍奢	疑一模上 書開三麻平
伐木	並三C元入 明一東入
伐柯	並三C元入 見開一歌平
休克	曉三C尤平 溪開一登入
休兵	曉三C尤平 幫三B庚平
休學	曉三C尤平 匣二江入
休寧	曉三C尤平 泥開四青平
休市	曉三C尤平 常開三之上
休庭	曉三C尤平 定開四青平
休怪	曉三C尤平 見合二皆去
休息	曉三C尤平 心開三蒸入
休惜	曉三C尤平 心開三清入
休想	曉三C尤平 心開三陽上
休憩	曉三C尤平 溪開三B祭去
休戰	曉三C尤平 章開三仙去
休整	曉三C尤平 章開三清上
休會	曉三C尤平 匣合一泰去
休止	曉三C尤平 章開三之上
休眠	曉三C尤平 明四先平
休謨	曉三C尤平 明一模平
休閒	曉三C尤平 見開二山平
伯伯	幫二庚入 幫二庚入
伯傑	幫二庚入 羣開三B仙入
伯叔	幫二庚入 書三東入
伯恩	幫二庚入 影開一痕平
伯母	幫二庚入 明一侯上
伯爵	幫二庚入 精開三陽入
伯莎	幫二庚入 心合一歌平
伯都	幫二庚入 端一模平
伯顏	幫二庚入 疑開二刪平
估值	見一模上 澄開三之去
估價	見一模上 見開二麻去
估測	見一模上 初開三蒸入
估算	見一模上 心合一寒上
估計	見一模上 見開四齊去
伶人	來開四青平 日開三真平
伶仃	來開四青平 端開四青平
伶俜	來開四青平 滂四青平
伶鼬	來開四青平 以三尤去
伸冤	書開三真平 影合三C元平
伸展	書開三真平 知開三仙上
伸手	書開三真平 書三尤上
伸港	書開三真平 見二江上
伸直	書開三真平 澄開三蒸入
伸縮	書開三真平 生三東入
伸開	書開三真平 溪開一咍平
伸雪	書開三真平 心合三仙入
似乎	邪開三之上 匣一模平
似核	邪開三之上 匣開二耕入
似的	邪開三之上 端開四青入
似雪	邪開三之上 心合三仙入
伽師	羣開三C歌平 生開三脂平
伽藍	羣開三C歌平 來開一談平
伽馬	羣開三C歌平 明二麻上
佇列	澄開三魚上 來開三仙入
佇立	澄開三魚上 來開三侵入
佈伍	幫一模去 疑一模上
佈局	幫一模去 羣三C鍾入
佈景	幫一模去 見開三B庚上
佈置	幫一模去 知開三之去
佈道	幫一模去 定開一豪上
佈雷	幫一模去 來合一灰平
位元	云合三B脂去 疑合三C元平
位列	云合三B脂去 來開三仙入
位圖	云合三B脂去 定一模平
位子	云合三B脂去 精開三之上
位形	云合三B脂去 匣開四青平
位次	云合三B脂去 清開三脂去
位移	云合三B脂去 以開三支平
位置	云合三B脂去 知開三之去
位面	云合三B脂去 明三A仙去
低丘	端開四齊平 溪三C尤平
低于	端開四齊平 云合三C虞平
低估	端開四齊平 見一模上
低俗	端開四齊平 邪三鍾入
低保	端開四齊平 幫一豪上
低價	端開四齊平 見開二麻去
低利	端開四齊平 來開三脂去
低劣	端開四齊平 來合三仙入
低地	端開四齊平 定開四脂去
低垂	端開四齊平 常合三支平
低壓	端開四齊平 影開二銜入
低層	端開四齊平 從開一登平
低幫	端開四齊平 幫一唐平
低廉	端開四齊平 來開三鹽平
低微	端開四齊平 明三C微平
低息	端開四齊平 心開三蒸入
低效	端開四齊平 匣開二肴去
低昂	端開四齊平 疑開一唐平
低檔	端開四齊平 端開一唐平
低欄	端開四齊平 來開一寒平
低沉	端開四齊平 澄開三侵平
低溫	端開四齊平 影合一魂平
低潮	端開四齊平 澄開三宵平
低熱	端開四齊平 日開三仙入
低矮	端開四齊平 影開二佳上
低窪	端開四齊平 影合二麻平
低端	端開四齊平 端合一寒平
低粉	端開四齊平 幫三C文上
低級	端開四齊平 見開三B侵入
低維	端開四齊平 以合三脂平
低緩	端開四齊平 匣合一寒上
低聲	端開四齊平 書開三清平
低脂	端開四齊平 章開三脂平
低落	端開四齊平 來開一唐入
低迷	端開四齊平 明四齊平
低陷	端開四齊平 匣開二咸去
低階	端開四齊平 見開二皆平
低音	端開四齊平 影開三B侵平
低頭	端開四齊平 定一侯平
住友	澄合三虞去 云三C尤上
住口	澄合三虞去 溪一侯上
住地	澄合三虞去 定開四脂去
住客	澄合三虞去 溪開二庚入
住家	澄合三虞去 見開二麻平
住房	澄合三虞去 並三C陽平
住所	澄合三虞去 生開三魚上
住手	澄合三虞去 書三尤上
住持	澄合三虞去 澄開三之平
住腳	澄合三虞去 見開三C陽入
佐羅	精開一歌去 來開一歌平
佐藤	精開一歌去 定開一登平
佐證	精開一歌去 章開三蒸去
佐貳	精開一歌去 日開三脂去
佐酒	精開一歌去 精三尤上
佐餐	精開一歌去 清開一寒平
佑護	云三C尤去 匣一模去
佔城	端開四添平 常開三清平
佔婆	端開四添平 並一歌平
佔據	端開四添平 見開三C魚去
佔族	端開四添平 從一東入
佔有	端開四添平 云三C尤上
佔用	端開四添平 以三鍾去
佔線	端開四添平 心開三仙去
佔領	端開四添平 來開三清上
佚名	以開三真入 明三A清平
佛像	並三C文入 邪開三陽上
佛典	並三C文入 端開四先上
佛坪	並三C文入 並三B庚平
佛塔	並三C文入 透開一談入
佛學	並三C文入 匣二江入
佛家	並三C文入 見開二麻平
佛寺	並三C文入 邪開三之去
佛山	並三C文入 生開二山平
佛岡	並三C文入 見開一唐平
佛心	並三C文入 心開三侵平
佛性	並三C文入 心開三清去
佛教	並三C文入 見開二肴去
佛書	並三C文入 書開三魚平
佛法	並三C文入 幫三C凡入
佛牙	並三C文入 疑開二麻平
佛祖	並三C文入 精一模上
佛系	並三C文入 匣開四齊去
佛門	並三C文入 明一魂平
佛陀	並三C文入 定開一歌平
佛龕	並三C文入 溪開一覃平
佩帶	並一灰去 端開一泰去
佩戴	並一灰去 端開一咍去
佩服	並一灰去 並三C東入
佩環	並一灰去 匣合二刪平
佩蘭	並一灰去 來開一寒平
佩飾	並一灰去 書開三蒸入
佯裝	以開三陽平 莊開三陽平
佳人	見開二佳平 日開三真平
佳冬	見開二佳平 端一冬平
佳境	見開二佳平 見開三B庚上
佳妙	見開二佳平 明三A宵去
佳期	見開二佳平 羣開三C之平
佳節	見開二佳平 精開四先入
佳績	見開二佳平 精開四青入
佳美	見開二佳平 明三B脂上
佳話	見開二佳平 匣合二夬去
佳釀	見開二佳平 孃開三陽去
佳里	見開二佳平 來開三之上
佳餚	見開二佳平 匣開二肴平
來信	來開一咍平 心開三真去
來到	來開一咍平 端開一豪去
來勁	來開一咍平 見開三A清去
來勢	來開一咍平 書開三祭去
來回	來開一咍平 匣合一灰平
來安	來開一咍平 影開一寒平
來客	來開一咍平 溪開二庚入
